Actor,Movies,Gender,Country,Role,url,NumLines
Anthony Hopkins,The Wolfman,Male,United Kingdom,Sir John Talbot,http://www.joblo.com/scripts/The%20Wolfman.pdf,
Emily Blunt,The Wolfman,Female,United Kingdom,Gwen Conliffe,http://www.joblo.com/scripts/The%20Wolfman.pdf,
Carey Mulligan,Wall Street: Money Never Sleeps,Female,United Kingdom,Winnie Gekko,http://www.imsdb.com/scripts/Wall-Street-Money-Never-Sleeps.html,141
Seth Rogen,50/50,Male,Canada,Kyle,http://www.imsdb.com/scripts/50-50.html,222
Helen Mirren,Arthur,Female,United Kingdom,Hobson,http://www.imsdb.com/scripts/Arthur.html,219
Russell Brand,Arthur,Male,United Kingdom,Arthur,http://www.imsdb.com/scripts/Arthur.html,829
Bill Nighy,Arthur Christmas,Male,United Kingdom,Grandsanta       (voice),https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/Arthur%20Christmas%2011-Feb-10.pdf,
James Mcavoy,Arthur Christmas,Male,United Kingdom,Arthur       (voice),https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/Arthur%20Christmas%2011-Feb-10.pdf,
Jim Broadbent,Arthur Christmas,Male,United Kingdom,Santa       (voice),https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/Arthur%20Christmas%2011-Feb-10.pdf,
Hugo Weaving,Captain America: The First Avenger,Male,Nigeria,Johann Schmidt /              Red Skull,http://transcripts.wikia.com/wiki/Captain_America:_The_First_Avenger,45
Michael Caine,Cars 2,Male,United Kingdom,Finn McMissile       (voice),http://www.imsdb.com/scripts/Cars-2.html,296
Rose Mcgowan,Conan the Barbarian,Female,Italy,Marique,http://www.imsdb.com/scripts/Co0n-the-Barbarian.html,0
Ryan Gosling,"Crazy, Stupid, Love.",Male,Canada,Jacob,"http://www.imsdb.com/scripts/Crazy,-Stupid,-Love.html",319
Carey Mulligan,Drive,Female,United Kingdom,Irene,http://www.imsdb.com/scripts/Drive.html,211
Ryan Gosling,Drive,Male,Canada,Driver,http://www.imsdb.com/scripts/Drive.html,600
Mila Kunis,Friends with Benefits,Female,Ukraine,Jamie,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/Friends%20with%20Benefits.pdf,538
Ryan Reynolds,Green Lantern,Male,Canada,Hal Jordan /              Green Lantern,https://indiegroundfilms.files.wordpress.com/2014/01/green-lantern-jun09-08-1st.pdf,520
Cate Blanchett,Hanna,Female,Australia,Marissa Wiegler,http://www.imsdb.com/scripts/Han0.html,305
Eric Bana,Hanna,Male,Australia,Erik Heller,http://www.imsdb.com/scripts/Han0.html,205
Asa Butterfield,Hugo,Male,United Kingdom,Hugo Cabret,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Misc/HUGO%20CABRET%204%2021%2010%20(2).pdf,550
Christopher Lee,Hugo,Male,United Kingdom,Monsieur Labisse,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Misc/HUGO%20CABRET%204%2021%2010%20(2).pdf,22
Jackie Chan,Kung Fu Panda 2,Male,Hong Kong,Monkey       (voice),http://kungfupanda.wikia.com/wiki/Kung_Fu_Panda_2/Transcript,35
Abbie Cornish,Limitless,Female,Australia,Lindy,http://www.imsdb.com/scripts/Limitless.html,120
Anna Friel,Limitless,Female,United Kingdom,Melissa,http://www.imsdb.com/scripts/Limitless.html,61
Rachel Mcadams,Midnight in Paris,Female,Canada,Inez,http://www.pages.drexel.edu/~i022/splaylib/Screenplay-Midnight_in_Paris.pdf,163
Natalie Portman,No Strings Attached,Female,Israel,Emma,http://www.imsdb.com/scripts/No-Strings-Attached.html,641
Nick Frost,Paul,Male,United Kingdom,Clive Gollings,http://www.imsdb.com/scripts/Paul.html,542
Seth Rogen,Paul,Male,Canada,Paul       (voice),http://www.imsdb.com/scripts/Paul.html,455
Simon Pegg,Paul,Male,United Kingdom,Graeme Willy,http://www.imsdb.com/scripts/Paul.html,504
Ian Mcshane,Pirates of the Caribbean: On Stranger Tides,Male,United Kingdom,Blackbeard,http://thescriptsavant.com/pdf/Pirates_Of_The_Caribbean_On_Stranger_Tides.pdf,262
Paul Bettany,Priest,Male,United Kingdom,Priest,http://www.imsdb.com/scripts/Priest.html,632
Gary Oldman,Red Riding Hood,Male,United Kingdom,Solomon,http://www.imsdb.com/scripts/Red-Riding-Hood.html,193
Andy Serkis,Rise of the Planet of the Apes,Male,United Kingdom,Caesar,http://www.imsdb.com/scripts/Rise-of-the-Planet-of-the-Apes.html,505
Freida Pinto,Rise of the Planet of the Apes,Female,India,Caroline Aranha,http://www.imsdb.com/scripts/Rise-of-the-Planet-of-the-Apes.html,35
Neve Campbell,Scream 4,Female,Canada,Sidney Prescott,http://scream-trilogy.net/wp-content/uploads/Scre4mFanscript.pdf,343
Jared Harris,Sherlock Holmes: A Game of Shadows,Male,United Kingdom,Professor James Moriarty,http://www.raindance.co.uk/site/picture/upload/image/books/Sherlock_Holmes.pdf,2
Jude Law,Sherlock Holmes: A Game of Shadows,Male,United Kingdom,Dr. John Watson,http://www.raindance.co.uk/site/picture/upload/image/books/Sherlock_Holmes.pdf,359
Emily Blunt,The Adjustment Bureau,Female,United Kingdom,Elise Sellas,"http://www.imsdb.com/scripts/Adjustment-Bureau,-The.html",308
Jean Dujardin,The Artist,Male,France,George Valentin,"http://www.pages.drexel.edu/~i022/splaylib/Screenplay-Artist,_The.pdf",
Bill Nighy,The Best Exotic Marigold Hotel,Male,United Kingdom,Douglas Ainslie,"http://www.imsdb.com/scripts/Best-Exotic-Marigold-Hotel,-The.html",199
Judi Dench,The Best Exotic Marigold Hotel,Female,United Kingdom,Evelyn Greenslade,"http://www.imsdb.com/scripts/Best-Exotic-Marigold-Hotel,-The.html",270
Maggie Smith,The Best Exotic Marigold Hotel,Female,United Kingdom,Muriel Donnelly,"http://www.imsdb.com/scripts/Best-Exotic-Marigold-Hotel,-The.html",163
Ryan Reynolds,The Change-Up,Male,Canada,Mitch Planko,"http://www.imsdb.com/scripts/Change-Up,-The.html",722
Christopher Plummer,The Girl with the Dragon Tattoo,Male,Canada,Henrik Vanger,"http://www.imsdb.com/scripts/Girl-with-the-Dragon-Tattoo,-The.html",46
Daniel Craig,The Girl with the Dragon Tattoo,Male,United Kingdom,Mikael Blomkvist,"http://www.imsdb.com/scripts/Girl-with-the-Dragon-Tattoo,-The.html",33
Donald Sutherland,The Mechanic,Male,Canada,Harry McKenna,"http://www.imsdb.com/scripts/Mechanic,-The.html",32
Jason Statham,The Mechanic,Male,United Kingdom,Arthur Bishop,"http://www.imsdb.com/scripts/Mechanic,-The.html",24
Amy Adams,The Muppets,Female,Italy,Mary,http://www.dailyscript.com/scripts/TheGreatestMuppetMovieofAllTimebyJasonSegelandNicholasStoller10-30-09.pdf,96
Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 1,Male,United Kingdom,Edward Cullen,http://transcripts.foreverdreaming.org/viewtopic.php?f=150&t=9148,181
Anthony Hopkins,Thor,Male,United Kingdom,Odin,http://www.imsdb.com/scripts/Thor.html,175
Chris Hemsworth,Thor,Male,Australia,Thor,http://www.imsdb.com/scripts/Thor.html,644
Natalie Portman,Thor,Female,Israel,Jane Foster,http://www.imsdb.com/scripts/Thor.html,323
Diane Kruger,Unknown,Female,Germany,Gina,http://www.imsdb.com/scripts/Unknown.html,276
Liam Neeson,Unknown,Male,United Kingdom,Dr. Martin Harris,http://www.imsdb.com/scripts/Unknown.html,872
David Thewlis,War Horse,Male,United Kingdom,Lyons,http://www.imsdb.com/scripts/War-Horse.html,71
Emily Watson,War Horse,Female,United Kingdom,Rose Narracott,http://www.imsdb.com/scripts/War-Horse.html,5
Jeremy Irvine,War Horse,Male,United Kingdom,Albert Narracott,http://www.imsdb.com/scripts/War-Horse.html,361
Christoph Waltz,Water for Elephants,Male,Austria,August,http://www.imsdb.com/scripts/Water-for-Elephants.html,531
Robert Pattinson,Water for Elephants,Male,United Kingdom,Jacob,http://www.imsdb.com/scripts/Water-for-Elephants.html,1056
James Mcavoy,X: First Class,Male,United Kingdom,Charles Xavier (24 Years),http://transcripts.wikia.com/wiki/X-Men:_First_Class,235
Natalie Portman,Your Highness,Female,Israel,Isabel,http://www.joblo.com/scripts/yourhighness.pdf,
Alex Russell,Chronicle,Male,Australia,Matt Garetty,http://1e36a764da2f6b46c156-0fa6f106d654e15326ee14d2a07c02d0.r64.cf1.rackcdn.com/2012/10/CHRONICLE-Origi0l-Script.pdf,417
Hugh Grant,Cloud Atlas,Male,United Kingdom,Rev. Giles Horrox /              Hotel Heavy /              Lloyd Hooks /              Denholme Cavendish /              Seer Rhee /              Kona Chief,https://alexcassun.files.wordpress.com/2012/08/cloud-atlas.pdf,
Christoph Waltz,Django Unchained,Male,Austria,Dr. King Schultz,http://www.imsdb.com/scripts/Django-Unchained.html,425
Catherine O'Hara,Frankenweenie,Female,Canada,Mrs. Frankenstein /              Weird Girl /              Gym Teacher       (voice),http://scriptslug.com/assets/uploads/scripts/frankenweenie-2012.pdf,121
Martin Short,Frankenweenie,Male,Canada,Mr. Frankenstein /              Mr. Burgemeister /              Nassor       (voice),http://scriptslug.com/assets/uploads/scripts/frankenweenie-2012.pdf,82
Salma Hayek,Here Comes the Boom,Female,Mexico,Bella Flores,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/Here%20Comes%20the%20Boom.pdf,128
Hugh Jackman,Les Miserables,Male,Australia,Jean Valjean,http://screenplayexplorer.com/wp-content/scripts/lesmiserables.pdf,395
Russell Crowe,Les Miserables,Male,New Zealand,Javert,http://screenplayexplorer.com/wp-content/scripts/lesmiserables.pdf,174
Irrfan Khan,Life of Pi,Male,India,Adult Pi Patel,http://www.imsdb.com/scripts/Life-of-Pi.html,93
Suraj Sharma,Life of Pi,Male,India,Pi Patel,http://www.imsdb.com/scripts/Life-of-Pi.html,342
Daniel Day-Lewis,Lincoln,Male,United Kingdom,Abraham Lincoln,http://www.imsdb.com/scripts/Lincoln.html,402
Bruce Willis,Looper,Male,West Germany,Old Joe,http://www.rcjohnso.com/Looper/Looper.pdf,283
Emily Blunt,Looper,Female,United Kingdom,Sara,http://www.rcjohnso.com/Looper/Looper.pdf,305
Bruce Willis,Moonrise Kingdom,Male,West Germany,Captain Sharp,http://www.pages.drexel.edu/~i022/splaylib/Screenplay-Moonrise_Kingdom.pdf,251
Chris Hemsworth,Red Dawn,Male,Australia,Jed Eckert,http://screenplayexplorer.com/wp-content/scripts/Red-Dawn.pdf,
Isabel Lucas,Red Dawn,Female,Australia,Erica Martin,http://screenplayexplorer.com/wp-content/scripts/Red-Dawn.pdf,
Milla Jovovich,Resident Evil: Retribution,Female,Ukraine,Alice,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/RE5%20Script%20(Aug%202012).pdf,613
Sienna Guillory,Resident Evil: Retribution,Female,United Kingdom,Jill Valentine,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/RE5%20Script%20(Aug%202012).pdf,64
Hugh Jackman,Rise of the Guardians,Male,Australia,Bunny       (voice),http://www.imsdb.com/scripts/Rise-of-the-Guardians.html,297
Isla Fisher,Rise of the Guardians,Female,Oman,Tooth       (voice),http://www.imsdb.com/scripts/Rise-of-the-Guardians.html,273
Adelaide Clemens,Silent Hill: Revelation,Female,Australia,Heather /              Alessa,http://www.silenthillmemories.net/shm2/downloads/sh_revelation_origi0l_script.pdf,647
Kit Harington,Silent Hill: Revelation,Male,United Kingdom,Vincent,http://www.silenthillmemories.net/shm2/downloads/sh_revelation_origi0l_script.pdf,276
Sean Bean,Silent Hill: Revelation,Male,United Kingdom,Harry,http://www.silenthillmemories.net/shm2/downloads/sh_revelation_origi0l_script.pdf,140
Charlize Theron,Snow White and the Huntsman,Female,South Africa,Ravenna,http://www.imsdb.com/scripts/Snow-White-and-the-Huntsman.html,276
Chris Hemsworth,Snow White and the Huntsman,Male,Australia,The Huntsman,http://www.imsdb.com/scripts/Snow-White-and-the-Huntsman.html,383
Carmen Ejogo,Sparkle,Female,United Kingdom,Sister,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/SPARKLE%20PRODUCTION%20DRAFT%20LOCKED%20WHITE%20PAGES%209.20.11.pdf,368
Famke Janssen,Taken 2,Female,Netherlands,Lenore,https://drive.google.com/file/d/0B7l24it2yHvJNW9uN09WQ0Q0c0U/view,
Liam Neeson,Taken 2,Male,United Kingdom,Bryan Mills,https://drive.google.com/file/d/0B7l24it2yHvJNW9uN09WQ0Q0c0U/view,
Mila Kunis,Ted,Female,Ukraine,Lori Collins,http://screenplayexplorer.com/wp-content/scripts/ted.pdf,405
Rhys Ifans,The Amazing Spider-Man,Male,United Kingdom,The Lizard /              Dr. Curt Connors,http://transcripts.wikia.com/wiki/The_Amazing_Spider-Man,68
Anna Hutchison,The Cabin in the Woods,Female,New Zealand,Jules,https://alexcassun.files.wordpress.com/2012/08/cabin-in-the-woods.pdf,
Chris Hemsworth,The Cabin in the Woods,Male,Australia,Curt,https://alexcassun.files.wordpress.com/2012/08/cabin-in-the-woods.pdf,
Christian Bale,The Dark Knight Rises,Male,United Kingdom,Bruce Wayne,https://alexcassun.files.wordpress.com/2012/08/tdkr.pdf,385
Tom Hardy,The Dark Knight Rises,Male,United Kingdom,Bane,https://alexcassun.files.wordpress.com/2012/08/tdkr.pdf,287
Joaquin Phoenix,The Master,Male,Puerto Rico,Freddie Quell,"http://www.imsdb.com/scripts/Master,-The.html",773
Ryan Gosling,The Place Beyond the Pines,Male,Canada,Luke,https://www.raindance.org/wp-content/uploads/The-Place-Beyond-the-Pines.pdf,344
Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2,Male,United Kingdom,Edward Cullen,http://transcripts.foreverdreaming.org/viewtopic.php?f=150&t=9760,191
Colin Farrell,Total Recall,Male,Ireland,Douglas Quaid /              Hauser,http://www.imsdb.com/scripts/Total-Recall.html,9
Chiwetel Ejiofor,12 Years a Slave,Male,United Kingdom,Solomon Northup,http://www.pages.drexel.edu/~i022/splaylib/Screenplay-12_Years_a_Slave.pdf,689
Rose Byrne,Insidious: Chapter 2,Female,Australia,Renai Lambert,http://www.sellingyourscreenplay.com/wp-content/uploads/screenplay/scripts/Insidious:-Chapter-2.pdf,265
Guy Pearce,Iron Man Three,Male,United Kingdom,Aldrich Killian,http://transcripts.wikia.com/wiki/Iron_Man_3,60
Aaron Taylor-Johnson,Kick-Ass 2,Male,United Kingdom,Dave Lizewski /              Kick-Ass,http://www.joblo.com/scripts/Kick-Ass.pdf,563
Taylor Kitsch,Lone Survivor,Male,Canada,Michael Murphy,https://stephenfollows.com/resource-docs/scripts/Lone%20Survivor.pdf,455
Henry Cavill,Man of Steel,Male,Channel Island,Clark Kent /              Kal-El,http://www.simplyscripts.com/scripts/ManofSteelnSecondDraftn.pdf,314
Andrea Riseborough,Oblivion,Female,United Kingdom,Victoria,http://www.imsdb.com/scripts/Oblivion.html,292
Gerard Butler,Olympus Has Fallen,Male,United Kingdom,Mike Banning,http://www.screenplaydb.com/film/scripts/Olympus%20Has%20Fallen%20-%20script_mod.pdf,396
Charlie Hunnam,Pacific Rim,Male,United Kingdom,Raleigh Becket,https://indiegroundfilms.files.wordpress.com/2014/01/pacific-rim.pdf,410
Idris Elba,Pacific Rim,Male,United Kingdom,Stacker Pentecost,https://indiegroundfilms.files.wordpress.com/2014/01/pacific-rim.pdf,151
Rinko Kikuchi,Pacific Rim,Female,Japan,Mako Mori,https://indiegroundfilms.files.wordpress.com/2014/01/pacific-rim.pdf,278
Judi Dench,Philomena,Female,United Kingdom,Philomena,http://1e36a764da2f6b46c156-0fa6f106d654e15326ee14d2a07c02d0.r64.cf1.rackcdn.com/2014/02/Philome0.pdf,604
Sophie Kennedy Clark,Philomena,Female,United Kingdom,Young Philomena,http://1e36a764da2f6b46c156-0fa6f106d654e15326ee14d2a07c02d0.r64.cf1.rackcdn.com/2014/02/Philome0.pdf,68
