Movie,Actor,Character,Gender,Country
30 Days of Night,Chic Littlewood,Isaac Bulosan,Male,UK
30 Days of Night,Craig Hall,Wilson Bulosan,Male,None
30 Days of Night,Danny Huston,Marlow,Male,Italy
30 Days of Night,Joel Tobeck,Doug Hertz,Male,New Zealand
30 Days of Night,Josh Hartnett,Eben Oleson,Male,USA
30 Days of Night,Manu Bennett,Billy Kitka,Male,New Zealand
30 Days of Night,Mark Boone Junior,Beau Brower,Male,USA
30 Days of Night,Mark Rendall,Jake Oleson,Male,Canada
30 Days of Night,Nathaniel Lees,Carter Davies,Male,New Zealand
30 Days of Night,Peter Feeney,John Riis,Male,None
30 Minutes or Less,Bianca Kajlich,Juicy,Female,USA
30 Minutes or Less,Dilshad Vadsaria,Kate,Female,Pakistan
30 Minutes or Less,Elizabeth Shapiro,Chet's Date       (as Elizabeth Wright Shapiro),Female,None
30 Minutes or Less,Staci Lynn Fletcher,Family Dollar Cashier       (as Staci Fletcher),Female,USA
30 Minutes or Less,Sam Johnston,15 Year Old #1,male,None
30 Minutes or Less,Aziz Ansari,Chet,Male,USA
30 Minutes or Less,Brett Gelman,Pizza Boss,Male,None
30 Minutes or Less,Danny Mcbride,Dwayne,Male,USA
30 Minutes or Less,Fred Ward,The Major,Male,USA
30 Minutes or Less,Gary Brichetto,Mr. Fisher,Male,None
30 Minutes or Less,Jack Foley,15 Year Old #2,Male,None
30 Minutes or Less,Jesse Eisenberg,Nick,Male,USA
30 Minutes or Less,Michael Pena,Chango,Male,USA
30 Minutes or Less,Nick Swardson,Travis,Male,USA
30 Minutes or Less,Paul Tierney,Rodney,Male,None
300: Rise of an Empire,Eva Green,Artemisia,Female,France
300: Rise of an Empire,Lena Headey,Queen Gorgo,Female,Bermuda
300: Rise of an Empire,Andrew Pleavin,Daxos,Male,UK
300: Rise of an Empire,Andrew Tiernan,Ephialtes,Male,UK
300: Rise of an Empire,Ashraf Barhom,General Bandari,Male,Israel
300: Rise of an Empire,Ben Turner,General Artaphernes,Male,UK
300: Rise of an Empire,Callan Mulvey,Scyllias,Male,New Zealand
300: Rise of an Empire,Christopher Sciueref,General Kashani,Male,UK
300: Rise of an Empire,David Wenham,Dilios,Male,Australia
300: Rise of an Empire,Hans Matheson,Aeskylos,Male,UK
300: Rise of an Empire,Igal Naor,King Darius,Male,Israel
300: Rise of an Empire,Jack O'Connell,Calisto,Male,UK
300: Rise of an Empire,Peter Mensah,Persian Emissary,Male,Ghana
300: Rise of an Empire,Rodrigo Santoro,Xerxes,Male,None
300: Rise of an Empire,Sullivan Stapleton,Themistokles,Male,Australia
42,Nicole Beharie,Rachel Robinson,Female,None
42,Alan Tudyk,Ben Chapman,Male,USA
42,Andr E Holland,Wendell Smith       (as Andre Holland),Male,USA
42,Brad Beyer,Kirby Higbe,Male,USA
42,Chadwick Boseman,Jackie Robinson,Male,USA
42,Christopher Meloni,Leo Durocher,Male,USA
42,Hamish Linklater,Ralph Branca,Male,USA
42,Harrison Ford,Branch Rickey,Male,USA
42,James Pickens Jr.,Mr. Brock,Male,USA
42,John C. Mcginley,Red Barber,Male,USA
42,Lucas Black,Pee Wee Reese,Male,USA
42,Max Gail,Burt Shotton,Male,USA
42,Ryan Merriman,Dixie Walker,Male,USA
42,T.R. Knight,Harold Parrott,Male,USA
42,Toby Huss,Clyde Sukeforth,Male,USA
47 Meters Down,Claire Holt,Kate,Female,Australia
47 Meters Down,Mandy Moore,Lisa,Female,USA
47 Meters Down,Chris Johnson,Javier       (as Chris J. Johnson),Male,USA
47 Meters Down,Matthew Modine,Captain Taylor,Male,USA
47 Meters Down,Santiago Segura,Benjamin,Male,Spain
47 Meters Down,Yani Gellman,Louis,Male,USA
47 Ronin,Ko Shibasaki,Mika       (as K&#244; Shibasaki),Female,Japan
47 Ronin,Natsuki Kunimoto,Riku,Female,None
47 Ronin,Rinko Kikuchi,Witch,Female,Japan
47 Ronin,Cary-Hiroyuki Tagawa,Shogun Tsunayoshi,Male,Japan
47 Ronin,Hiroshi Sogabe,Hazama,Male,None
47 Ronin,Hiroshi Yamada,Hara,Male,None
47 Ronin,Hiroyuki Sanada,&#212;ishi,Male,Japan
47 Ronin,Jin Akanishi,Chikara,Male,Japan
47 Ronin,Keanu Reeves,Kai,Male,Lebanon
47 Ronin,Masayoshi Haneda,Yasuno,Male,None
47 Ronin,Min Tanaka,Lord Asano,Male,Japan
47 Ronin,Neil Fingleton,Lovecraftian Samurai,Male,UK
47 Ronin,Shi Nakajima,Horibe,Male,Japan
47 Ronin,Tadanobu Asano,Lord Kira,Male,Japan
47 Ronin,Takato Yonemoto,Basho,Male,None
50/50,Anjelica Huston,Diane,Female,USA
50/50,Anna Kendrick,Katherine,Female,USA
50/50,Bryce Dallas Howard,Rachael,Female,USA
50/50,Donna Yamamoto,Dr. Walderson,Female,Canada
50/50,Jessica Parker Kennedy,Jackie,Female,Canada
50/50,Sarah Smyth,Jenny,Female,Canada
50/50,Sugar Lyn Beard,Susan,Female,Canada
50/50,Andrew Airlie,Dr. Ross,Male,UK
50/50,Joseph Gordon-Levitt,Adam,Male,USA
50/50,Matt Frewer,Mitch,Male,USA
50/50,Peter Kelamis,Phil,Male,Australia
50/50,Philip Baker Hall,Alan,Male,USA
50/50,Serge Houde,Richard - Alzheimer Dad,Male,Canada
50/50,Seth Rogen,Kyle,Male,Canada
50/50,Yee Jee Tso,Dr. Lee,Male,China
88 Minutes,Alicia Witt,Kim Cummings,Female,USA
88 Minutes,Amy Brenneman,Shelly Barnes,Female,USA
88 Minutes,Deborah Kara Unger,Carol Lynn Johnson,Female,Canada
88 Minutes,Leah Cairns,Sara Pollard,Female,Canada
88 Minutes,Leelee Sobieski,Lauren Douglas,Female,USA
88 Minutes,Trilby Glover,Defense Attorney,Female,None
88 Minutes,Al Pacino,Jack Gramm,Male,USA
88 Minutes,Ben Mckenzie,Mike Stempt       (as Benjamin McKenzie),Male,USA
88 Minutes,Brendan Fletcher,Johnny D'Franco,Male,Canada
88 Minutes,Christopher Redman,Jeremy Guber,Male,Canada
88 Minutes,Damien Leake,The Judge,Male,None
88 Minutes,Michael Eklund,J.T. Rycker,Male,Canada
88 Minutes,Neal Mcdonough,Jon Forster,Male,USA
88 Minutes,Stephen Moyer,Guy LaForge,Male,UK
88 Minutes,William Forsythe,Frank Parks,Male,USA
9,Helen Wilson,News Caster       (voice),Female,USA
9,Jennifer Connelly,#7       (voice),Female,USA
9,Alan Oppenheimer,Scientist       (voice),Male,USA
9,Christopher Plummer,#1       (voice),Male,Canada
9,Crispin Glover,#6       (voice),Male,USA
9,Elijah Wood,#9       (voice),Male,USA
9,Fred Tatasciore,#8 /              Radio Announcer       (voice),Male,USA
9,John C. Reilly,#5       (voice),Male,USA
9,Martin Landau,#2       (voice),Male,USA
9,Tom Kane,Dictator       (voice),Male,USA
90 Minutes in Heaven,Elizabeth Hunter,Nicole Piper,female,None
90 Minutes in Heaven,Cynthia Barrett,Anita Onerecker,Female,None
90 Minutes in Heaven,Jody Thompson,EMT /              Ambulance Driver #1,Female,Canada
90 Minutes in Heaven,Kate Bosworth,Eva Piper,Female,USA
90 Minutes in Heaven,Sallye Mcdougald Hooks,Hattie Mann       (as Sallye Hooks),Female,None
90 Minutes in Heaven,Bruce Taylor,Grandpa Joe,male,None
90 Minutes in Heaven,Matt Bauman,Mike Wood,male,None
90 Minutes in Heaven,Bobby Batson,Joe Piper       (as Bobby Blagg Batson),Male,None
90 Minutes in Heaven,Hayden Christensen,Don Piper,Male,Canada
90 Minutes in Heaven,Hudson Meek,Chris Piper,Male,None
90 Minutes in Heaven,Mark Oliver,Police Officer,Male,USA
90 Minutes in Heaven,Matthew Cornwell,EMT #1,Male,None
90 Minutes in Heaven,Michael Harding,Dick Onerecker,Male,None
90 Minutes in Heaven,Nicholas Pryor,J.V. Thomas,Male,USA
90 Minutes in Heaven,Trevor Allen Martin,Barry Wilson,Male,None
A Beautiful Planet,Jennifer Lawrence,Narrator       (voice),Female,USA
A Broken Code,Anika C. Mcfall,LaTisha,Female,None
A Broken Code,Eleni Symeonides,Kate,Female,None
A Broken Code,Elizabeth Friedman,Leslie,Female,USA
A Broken Code,Bahram Khosraviani,Zach,Male,None
A Broken Code,Bill T. Williams,Salvatore Gianni,Male,None
A Broken Code,Brian Hipp,Armon the Enforcer,Male,None
A Broken Code,Bryan Hanna,Nico,Male,USA
A Broken Code,Douglas Bierman,Tutty,Male,None
A Broken Code,Jay Giannone,Detective Celi,Male,None
A Broken Code,Joey Napoli,Lou Twice,Male,None
A Broken Code,Jordan Lawson,Bevis,Male,USA
A Broken Code,Josh Webber,Gino Gianni       (as Josh Abraham Webber),Male,Canada
A Broken Code,Michael Girgenti,Carmelo Gianni,Male,USA
A Broken Code,Ralph Michiel,Uncle Frank,Male,None
A Broken Code,Zach Silverman,TomTom,Male,None
A Christmas Carol,Amber Gainey Meade,Tattered Caroler /              Well Dressed Caroler,Female,USA
A Christmas Carol,Bobbi Page,Tattered Caroler /              Well Dressed Caroler,Female,None
A Christmas Carol,Robin Wright,Fan /              Belle       (as Robin Wright Penn),Female,USA
A Christmas Carol,Sammi Hanratty,Beggar Boy /              Young Cratchit Girl /              Want Girl,Female,USA
A Christmas Carol,Bob Hoskins,Fezziwig /              Old Joe,Male,UK
A Christmas Carol,Cary Elwes,Portly Gentleman #1 /              Dick Wilkins /              Mad Fiddler /              Guest #2 /              Business Man #1,Male,UK
A Christmas Carol,Colin Firth,Fred,Male,UK
A Christmas Carol,Daryl Sabara,Undertaker's Apprentice /              Tattered Caroler /              Beggar Boy /              Peter Cratchit /              Well Dressed Caroler,Male,USA
A Christmas Carol,Gary Oldman,Bob Cratchit /              Marley /              Tiny Tim,Male,UK
A Christmas Carol,Jim Carrey,Scrooge /              Ghost of Christmas Past /              Scrooge as a Young Boy /              Scrooge as a Teenage Boy /              Scrooge as a Young Man /              Scrooge as a Middle Aged Man /              Ghost of Christmas Present /              Ghost of Christmas Yet to Come,Male,Canada
A Christmas Carol,Julian Holloway,Fat Cook /              Portly Gentleman #2 /              Business Man #3,Male,UK
A Christmas Carol,Ron Bottitta,Tattered Caroler /              Well Dressed Caroler,Male,UK
A Christmas Carol,Ryan Ochoa,Tattered Caroler /              Beggar Boy /              Young Cratchit Boy /              Ignorance Boy /              Young Boy with Sleigh,Male,USA
A Christmas Carol,Sage Ryan,Tattered Caroler,Male,None
A Christmas Carol,Steve Valentine,Funerary Undertaker /              Topper,Male,UK
A Cure for Wellness,Celia Imrie,Victoria Watkins,Female,UK
A Cure for Wellness,Maggie Steed,Mrs. Abramov,Female,UK
A Cure for Wellness,Mia Goth,Hannah,Female,UK
A Cure for Wellness,Adrian Schiller,Deputy Director Pieterson,Male,UK
A Cure for Wellness,Ashok Mandanna,Ron Nair,Male,None
A Cure for Wellness,Craig Wroe,Morris,Male,None
A Cure for Wellness,Dane Dehaan,Lockhart,Male,USA
A Cure for Wellness,David Bishins,Hank Green,Male,None
A Cure for Wellness,Harry Groener,Roland E. Pembroke,Male,Germany
A Cure for Wellness,Ivo Nandi,Enrico,Male,None
A Cure for Wellness,Jason Isaacs,Volmer,Male,UK
